Timestamp,Participant,Consent,Version,Target_H1_4,Filler_L_L,Target_F1_4,Filler_A_A,Filler_L_B,Target_F1_5,Filler_B_B,Target_H4_5,Target_F4_5,Filler_A_L,Target_H1_5,Filler_B_A
11/18/2019 10:44:30,5d41fdd8ca81250001493117,I agree,1,6,7,6,1,7,4,7,1,1,1,7,7
11/18/2019 10:44:52,57a9e6f82fc0d400012c9db2,I agree,1,6,6,4,5,6,4,6,3,4,2,5,6
11/18/2019 10:44:56,55ef4896b9401300137f40ac,I agree,1,2,7,2,1,7,6,7,1,4,1,7,1
11/18/2019 10:45:08,5af0b1985bbd0b00015ebb05,I agree,1,2,6,4,2,6,5,6,6,6,2,6,2
11/18/2019 10:45:20,5cc355a9ec1db000014b5799,I agree,1,2,3,6,2,6,6,6,2,3,2,6,5
11/18/2019 10:45:22,5d8927d21571f4001c8ce125,I agree,1,7,1,2,6,5,7,1,1,2,7,6,5
11/18/2019 10:45:25,5d3e7646a364b40016b7aae2,I agree,1,6,4,6,1,4,6,4,2,3,5,3,2
11/18/2019 10:45:26,558965bffdf99b74158d77dd,I agree,1,6,6,6,6,6,2,2,2,3,7,6,1
11/18/2019 10:45:40,5b0441b02c6f280001bb12ac,I agree,1,6,6,4,1,7,3,6,4,6,2,2,1
11/18/2019 10:46:24,5afafdf27245f60001157545,I agree,1,2,6,2,6,6,6,6,2,2,2,6,2
11/18/2019 10:47:49,5c6cd125101f0a0001d7828d,I agree,1,1,6,3,1,5,5,6,7,3,2,4,3
11/18/2019 10:49:20,5c2e673889f0350001760e06,I agree,1,2,6,3,2,6,6,5,2,6,1,5,2