Timestamp,Prolific ID,"By clicking ""I agree"" below you are indicating that you are at least 18 years old, have read and understood the information above and agree to participate in this research study.",Target_H1_4,Filler_A_A,Target_F4_5,Filler_B_B,Filler_L_L,Target_F1_5,Filler_A_L,Filler_B_A,Target_F1_4,Target_H4_5,Target_H1_5,Filler_L_B
11/19/2019 12:16:53,5aabd17644adc700014c8621,I agree,6,6,4,5,6,4,1,1,5,2,2,1
11/19/2019 12:18:06,5dd34ac411b0bd359b2a028e,I agree,7,4,4,4,4,4,1,1,4,4,1,1
11/19/2019 12:18:40,5b04e335331e8100018f7b76,I agree,4,4,4,4,4,4,1,1,4,4,4,1
11/19/2019 12:18:41,5ae725a73b85e70001176e9c,I agree,4,4,4,4,4,4,1,1,4,4,4,1
11/19/2019 12:19:00,5cc9e61b7f76370017cfd5c7,I agree,4,4,4,4,4,5,1,1,4,4,4,1
11/19/2019 12:19:11,5d6eb5fabf0c7f0019fbfb81,I agree,4,4,4,4,4,4,1,1,4,4,4,1
11/19/2019 12:19:16,5d8035667ae6610001d5e5e8,I agree,7,4,4,4,4,4,1,1,4,4,1,1
11/19/2019 12:19:24,5d0d792355f0c70001345b6c,I agree,4,7,4,4,4,4,1,1,4,4,1,1
11/19/2019 12:19:27,5dd35f92ce1ce636e33cf27d,I agree,3,3,4,4,5,5,1,1,3,3,7,1
11/19/2019 12:19:45,5dcf2591ac504a07a80275e0,I agree,6,4,4,4,5,4,1,1,4,4,2,1
11/19/2019 12:19:52,5c8d7182d169ac0017d98627,I agree,5,4,4,4,4,4,1,1,4,4,3,1
11/19/2019 12:22:15,5adea08aeb60400001538a6f,I agree,5,4,4,4,4,4,1,1,4,4,3,1