"Timestamp"	"Prolific_ID"	"Consent"	"cond"	"response"	"Normal_Utt"	"Normal_Utt_latinized"	"Normal_Utt_gloss"	"Specificity"
"10/13/2020 17:18:02"	"5bf9881e1eafa5000110c99a"	"Я согласен/на"	"target_f4"	"пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 17:18:02"	"5bf9881e1eafa5000110c99a"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 17:18:02"	"5bf9881e1eafa5000110c99a"	"Я согласен/на"	"target_h1"	"большом пальце левой руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 17:18:02"	"5bf9881e1eafa5000110c99a"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:18:02"	"5bf9881e1eafa5000110c99a"	"Я согласен/на"	"target_f5"	"мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 17:18:02"	"5bf9881e1eafa5000110c99a"	"Я согласен/на"	"target_h5"	"мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 17:21:27"	"5a7875355292b80001227f63"	"Я согласен/на"	"target_f4"	"пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 17:21:27"	"5a7875355292b80001227f63"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 17:21:27"	"5a7875355292b80001227f63"	"Я согласен/на"	"target_h1"	"большом пальце руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 17:21:27"	"5a7875355292b80001227f63"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:21:27"	"5a7875355292b80001227f63"	"Я согласен/на"	"target_f5"	"маленьком пальце ноги"	"маленький палец ноги"	"malen'kiĭ palets nogi"	"small finger of the leg"	1
"10/13/2020 17:21:27"	"5a7875355292b80001227f63"	"Я согласен/на"	"target_h5"	"мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 17:25:58"	"5edeb53009233c15a313d1e2"	"Я согласен/на"	"target_f4"	"безымянном пальце ноги"	"безымянный палец ноги"	"bezymyannyĭ palets nogi"	"ring finger of the leg"	1
"10/13/2020 17:25:58"	"5edeb53009233c15a313d1e2"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 17:25:58"	"5edeb53009233c15a313d1e2"	"Я согласен/на"	"target_h1"	"большом пальце (руки)"	"большой палец"	"bol'shoĭ palets"	"big finger"	1
"10/13/2020 17:25:58"	"5edeb53009233c15a313d1e2"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:25:58"	"5edeb53009233c15a313d1e2"	"Я согласен/на"	"target_f5"	"мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 17:25:58"	"5edeb53009233c15a313d1e2"	"Я согласен/на"	"target_h5"	"мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 17:28:59"	"5f33c58b4bc5b11f0819d7e3"	"Я согласен/на"	"target_f4"	"пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 17:28:59"	"5f33c58b4bc5b11f0819d7e3"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 17:28:59"	"5f33c58b4bc5b11f0819d7e3"	"Я согласен/на"	"target_h1"	"большом пальце руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 17:28:59"	"5f33c58b4bc5b11f0819d7e3"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:28:59"	"5f33c58b4bc5b11f0819d7e3"	"Я согласен/на"	"target_f5"	"мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 17:28:59"	"5f33c58b4bc5b11f0819d7e3"	"Я согласен/на"	"target_h5"	"мизинце руки"	"мизинец руки"	"mizinets ruki"	"pinky of the hand"	1
"10/13/2020 17:29:44"	"5f4f793bd4ac640344d00707"	"Я согласен/на"	"target_f4"	"безымянном пальце ноги"	"безымянный палец ноги"	"bezymyannyĭ palets nogi"	"ring finger of the leg"	1
"10/13/2020 17:29:44"	"5f4f793bd4ac640344d00707"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 17:29:44"	"5f4f793bd4ac640344d00707"	"Я согласен/на"	"target_h1"	"большом пальце"	"большой палец"	"bol'shoĭ palets"	"big finger"	1
"10/13/2020 17:29:44"	"5f4f793bd4ac640344d00707"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:29:44"	"5f4f793bd4ac640344d00707"	"Я согласен/на"	"target_f5"	"мезинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 17:29:44"	"5f4f793bd4ac640344d00707"	"Я согласен/на"	"target_h5"	"мезинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 17:37:36"	"5d1e4a3ed4b9d60001ec8f1c"	"Я согласен/на"	"target_f4"	"безымянном пальце левой ноги"	"безымянный палец ноги"	"bezymyannyĭ palets nogi"	"ring finger of the leg"	1
"10/13/2020 17:37:36"	"5d1e4a3ed4b9d60001ec8f1c"	"Я согласен/на"	"target_h4"	"безымянном пальце левой руки"	"безымянный палец руки"	"bezymyannyĭ palets ruki"	"nameless finger of the hand"	1
"10/13/2020 17:37:36"	"5d1e4a3ed4b9d60001ec8f1c"	"Я согласен/на"	"target_h1"	"большом пальце левой руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 17:37:36"	"5d1e4a3ed4b9d60001ec8f1c"	"Я согласен/на"	"target_f1"	"большом пальце правой ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:37:36"	"5d1e4a3ed4b9d60001ec8f1c"	"Я согласен/на"	"target_f5"	"мизинце правой ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 17:37:36"	"5d1e4a3ed4b9d60001ec8f1c"	"Я согласен/на"	"target_h5"	"мизинце левой руки"	"мизинец руки"	"mizinets ruki"	"pinky of the hand"	1
"10/13/2020 17:42:04"	"5e81041375b8e47f1bdf2aa4"	"Я согласен/на"	"target_f4"	"пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 17:42:04"	"5e81041375b8e47f1bdf2aa4"	"Я согласен/на"	"target_h4"	"пальце руки"	"палец"	"palets"	"finger"	0
"10/13/2020 17:42:04"	"5e81041375b8e47f1bdf2aa4"	"Я согласен/на"	"target_h1"	"большом пальце руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 17:42:04"	"5e81041375b8e47f1bdf2aa4"	"Я согласен/на"	"target_f1"	"большом  пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:42:04"	"5e81041375b8e47f1bdf2aa4"	"Я согласен/на"	"target_f5"	"мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 17:42:04"	"5e81041375b8e47f1bdf2aa4"	"Я согласен/на"	"target_h5"	"мизинце руки"	"мизинец руки"	"mizinets ruki"	"pinky of the hand"	1
"10/13/2020 17:42:33"	"5d45e318be4f740001c3ae25"	"Я согласен/на"	"target_f4"	"пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 17:42:33"	"5d45e318be4f740001c3ae25"	"Я согласен/на"	"target_h4"	"пальце"	"палец"	"palets"	"finger"	0
"10/13/2020 17:42:33"	"5d45e318be4f740001c3ae25"	"Я согласен/на"	"target_h1"	"пальце"	"палец"	"palets"	"finger"	0
"10/13/2020 17:42:33"	"5d45e318be4f740001c3ae25"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:42:33"	"5d45e318be4f740001c3ae25"	"Я согласен/на"	"target_f5"	"мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 17:42:33"	"5d45e318be4f740001c3ae25"	"Я согласен/на"	"target_h5"	"мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 17:47:57"	"5d9ca4eff93dba0013e68c11"	"Я согласен/на"	"target_f4"	"пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 17:47:57"	"5d9ca4eff93dba0013e68c11"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 17:47:57"	"5d9ca4eff93dba0013e68c11"	"Я согласен/на"	"target_h1"	"большом пальце"	"большой палец"	"bol'shoĭ palets"	"big finger"	1
"10/13/2020 17:47:57"	"5d9ca4eff93dba0013e68c11"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:47:57"	"5d9ca4eff93dba0013e68c11"	"Я согласен/на"	"target_f5"	"мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 17:47:57"	"5d9ca4eff93dba0013e68c11"	"Я согласен/на"	"target_h5"	"мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 17:49:25"	"5c0ed000fd0c0a0001f881ea"	"Я согласен/на"	"target_f4"	"безымянном пальце левой ноги"	"безымянный палец ноги"	"bezymyannyĭ palets nogi"	"ring finger of the leg"	1
"10/13/2020 17:49:25"	"5c0ed000fd0c0a0001f881ea"	"Я согласен/на"	"target_h4"	"левом безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 17:49:25"	"5c0ed000fd0c0a0001f881ea"	"Я согласен/на"	"target_h1"	"левом большом пальце"	"большой палец"	"bol'shoĭ palets"	"big finger"	1
"10/13/2020 17:49:25"	"5c0ed000fd0c0a0001f881ea"	"Я согласен/на"	"target_f1"	"большом пальце правой ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:49:25"	"5c0ed000fd0c0a0001f881ea"	"Я согласен/на"	"target_f5"	"мизинце правой ноги "	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 17:49:25"	"5c0ed000fd0c0a0001f881ea"	"Я согласен/на"	"target_h5"	"левом мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 17:52:03"	"5eb16e253422cc256758628f"	"Я согласен/на"	"target_f4"	"безымянном пальце ноги"	"безымянный палец ноги"	"bezymyannyĭ palets nogi"	"ring finger of the leg"	1
"10/13/2020 17:52:03"	"5eb16e253422cc256758628f"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 17:52:03"	"5eb16e253422cc256758628f"	"Я согласен/на"	"target_h1"	"большом пальце"	"большой палец"	"bol'shoĭ palets"	"big finger"	1
"10/13/2020 17:52:03"	"5eb16e253422cc256758628f"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:52:03"	"5eb16e253422cc256758628f"	"Я согласен/на"	"target_f5"	"мизинце стопы"	"мизинец стопы"	"mizinets stopy"	"pinky of the foot"	1
"10/13/2020 17:52:03"	"5eb16e253422cc256758628f"	"Я согласен/на"	"target_h5"	"мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 17:52:20"	"5918774ba391f200011b281f"	"Я согласен/на"	"target_f4"	"пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 17:52:20"	"5918774ba391f200011b281f"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 17:52:20"	"5918774ba391f200011b281f"	"Я согласен/на"	"target_h1"	"большом пальце руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 17:52:20"	"5918774ba391f200011b281f"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:52:20"	"5918774ba391f200011b281f"	"Я согласен/на"	"target_f5"	"мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 17:52:20"	"5918774ba391f200011b281f"	"Я согласен/на"	"target_h5"	"мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 18:01:43"	"5f330016a5e57f0d8ce4e77a"	"Я согласен/на"	"target_f4"	"на безымянном пальце левой ноги"	"безымянный палец ноги"	"bezymyannyĭ palets nogi"	"ring finger of the leg"	1
"10/13/2020 18:01:43"	"5f330016a5e57f0d8ce4e77a"	"Я согласен/на"	"target_h4"	"на безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 18:01:43"	"5f330016a5e57f0d8ce4e77a"	"Я согласен/на"	"target_h1"	"большом пальце"	"большой палец"	"bol'shoĭ palets"	"big finger"	1
"10/13/2020 18:01:43"	"5f330016a5e57f0d8ce4e77a"	"Я согласен/на"	"target_f1"	"большом пальце ноге"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 18:01:43"	"5f330016a5e57f0d8ce4e77a"	"Я согласен/на"	"target_f5"	"правом мизинце на ноге"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 18:01:43"	"5f330016a5e57f0d8ce4e77a"	"Я согласен/на"	"target_h5"	"на мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 18:02:23"	"5ed271b9c16398066b4f3c01"	"Я согласен/на"	"target_f4"	"на пальце левой ноги."	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 18:02:23"	"5ed271b9c16398066b4f3c01"	"Я согласен/на"	"target_h4"	"безымянном пальце."	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"10/13/2020 18:02:23"	"5ed271b9c16398066b4f3c01"	"Я согласен/на"	"target_h1"	"левом большом пальце."	"большой палец"	"bol'shoĭ palets"	"big finger"	1
"10/13/2020 18:02:23"	"5ed271b9c16398066b4f3c01"	"Я согласен/на"	"target_f1"	"большом пальце ноги."	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 18:02:23"	"5ed271b9c16398066b4f3c01"	"Я согласен/на"	"target_f5"	"маленьком пальце стопы."	"маленький палец стопы"	"malen'kiĭ palets stopy"	"small finger of the foot"	1
"10/13/2020 18:02:23"	"5ed271b9c16398066b4f3c01"	"Я согласен/на"	"target_h5"	"левом мизинце."	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 18:07:11"	"5d8cf1d6243c0c001636900c"	"Я согласен/на"	"target_f4"	"четвертом пальце левой ступни"	"четвертый палец ноги"	"chetvertyĭ palets nogi"	"the fourth finger of the leg"	1
"10/13/2020 18:07:11"	"5d8cf1d6243c0c001636900c"	"Я согласен/на"	"target_h4"	"четвертом пальце левой руки, как кольцо"	"четвертый палец руки"	"chetvertyĭ palets ruki"	"fourth finger of the hand"	1
"10/13/2020 18:07:11"	"5d8cf1d6243c0c001636900c"	"Я согласен/на"	"target_h1"	"больщом пальце левой руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 18:07:11"	"5d8cf1d6243c0c001636900c"	"Я согласен/на"	"target_f1"	"большом пальце правой ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 18:07:11"	"5d8cf1d6243c0c001636900c"	"Я согласен/на"	"target_f5"	"мизинце правой ступни"	"мизинец ступни"	"mizinets stupni"	"pinky of the foot"	1
"10/13/2020 18:07:11"	"5d8cf1d6243c0c001636900c"	"Я согласен/на"	"target_h5"	"мизинце левой руки"	"мизинец руки"	"mizinets ruki"	"pinky of the hand"	1
"10/13/2020 18:12:08"	"5da3ecf8df5c0f001521faf8"	"Я согласен/на"	"target_f4"	"пальце ступни"	"палец ступни"	"palets stupni"	"finger of the foot"	0
"10/13/2020 18:12:08"	"5da3ecf8df5c0f001521faf8"	"Я согласен/на"	"target_h4"	"пальце"	"палец"	"palets"	"finger"	0
"10/13/2020 18:12:08"	"5da3ecf8df5c0f001521faf8"	"Я согласен/на"	"target_h1"	"большом пальце руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 18:12:08"	"5da3ecf8df5c0f001521faf8"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
